project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,frequency (weeks),project_url
Usergrid,6037019.775566318,2875.0,2420,11,378.0,434,-10.0,3,True,-18.0,176.0,90.0,0,67503.0,950.0,10237.0,0.0009127609192284823,31.89,32,1,24,45,34.117849640114336,184,2013-11-05,2021-10-11,12,https://github.com/apache/Usergrid
ZetaComponents,2735096.7958599995,140.0,103,13,9.0,15,0.0,1,False,-2.0,39.0,4.0,0,56099.0,1334.0,6522.0,0.000196336149302734,147.84,11,2,17,55,29.035284446787408,260,2011-03-06,2020-12-03,12,https://github.com/apache/ZetaComponents
Subversion,5718451.961394156,8167.0,1201,15,893.0,167,0.0,8,False,-22.0,289.0,64.0,0,85461.0,1628.0,80323.0,0.015270894424718238,35.2,22,4,122,24,16.803780023625148,289,2009-12-31,2023-05-31,12,https://github.com/apache/Subversion
Wicket,2088415.405652098,26373.0,1749,15,40.0,373,1.0,5,False,7.0,1655.0,139.0,2809,21890.0,406.0,33504.0,0.03287875957407062,71.75,38,1,8,16,4.202775073028238,203,2009-05-21,2023-06-16,12,https://github.com/apache/Wicket
Spark,455249762.2437657,181981.0,98816,10,-223.0,26996,-432.0,2,False,38.0,12175.0,2527.0,0,24334.0,6366.0,46482.0,0.034318108398203435,121.59,0,30,64,145,10.3310672378469,528,2014-02-25,2023-07-06,12,https://github.com/apache/Spark
Any23,13348221.226230945,2272.0,246,12,147.0,60,6.0,2,False,-3.0,123.0,38.0,231,11696.0,168.0,1952.0,0.004649651276154288,83.04,24,1,1,2,3.243721433135106,159,2012-06-04,2023-05-24,12,https://github.com/apache/Any23
Apex-core,1396136.5372975792,3937.0,884,9,262.0,184,-168.0,3,True,-25.0,160.0,69.0,3,80363.0,318.0,5979.0,0.018842439386776523,49.36,29,5,8,25,7.605396796778749,533,2015-08-25,2021-04-09,12,https://github.com/apache/Apex-core
Atlas,4158983.479279016,9391.0,3908,7,270.0,786,-1.0,4,False,-10.0,597.0,147.0,248,32839.0,965.0,5186.0,0.04326429239425391,24.76,0,9,19,45,47.00802276797762,316,2017-07-22,2023-05-17,12,https://github.com/apache/Atlas
Bigtop,2162468.8394475128,23269.0,1457,13,169.0,459,5.0,6,False,4.0,711.0,219.0,663,33827.0,398.0,3619.0,0.04092846609159411,93.43,28,5,3,18,19.63194833937152,335,2011-08-04,2023-05-22,12,https://github.com/apache/Bigtop
Celix,7738779.403272217,1024.0,356,10,-216.0,78,14.0,2,False,6.0,68.0,35.0,529,7540.0,1440.0,2143.0,0.017193336100077075,9.57,27,1,8,25,12.121936791229814,194,2014-08-09,2023-05-24,12,https://github.com/apache/Celix
incubator-CommonsRDF,3116378.3989677425,816.0,107,9,141.0,41,-11.0,1,False,-2.0,51.0,20.0,0,32846.0,224.0,1260.0,0.006564551422319475,69.86,2,0,0,0,5.129650507328072,91,2015-03-19,2023-05-26,12,https://github.com/apache/incubator-CommonsRDF
DataSketches,5524025.4081,49.0,144,5,7.0,10,1.0,1,True,-1.0,15.0,1.0,0,376.0,509.0,112.0,3.560112499554986e-05,0.0,0,0,0,0,0.0,0,2019-05-08,2023-01-24,12,https://github.com/apache/DataSketches
Daffodil,19281900.17092821,4535.0,237,7,-81.0,69,35.0,3,False,6.0,100.0,40.0,0,32303.0,147.0,3735.0,0.008829577968526466,74.32,35,3,12,10,9.419946262051525,682,2017-08-29,2023-05-27,12,https://github.com/apache/Daffodil
Curator,6443911.003297596,3861.0,7122,10,57.0,1210,-6.0,2,False,0.0,538.0,128.0,1075,571.0,297.0,2726.0,0.037317049529902106,91.94,13,0,1,0,7.614466862389905,99,2014-03-03,2023-05-23,12,https://github.com/apache/Curator
ECharts,6195594.72215284,63718.0,130120,11,-24.0,19478,-5.0,2,False,15.0,4526.0,237.0,3217,55864.0,348.0,9014.0,0.014282575258185014,140.7,32,1,4,78,13.939494595906687,211,2013-04-03,2023-06-01,12,https://github.com/apache/ECharts
Flume,11720218.29624296,16059.0,6412,13,214.0,1570,4.0,4,False,2.0,1103.0,94.0,178,79841.0,37.0,2792.0,0.03759481633826489,102.52,46,0,1,8,8.564505934405506,185,2011-08-12,2023-05-29,12,https://github.com/apache/Flume
Fluo,8056326.837037037,1460.0,438,11,61.0,78,0.0,2,False,2.0,42.0,34.0,86,42301.0,203.0,881.0,0.013783903957314362,52.38,15,0,2,2,17.636709128017454,140,2013-06-19,2023-04-10,12,https://github.com/apache/Fluo
Felix,3762452.1689704056,21066.0,889,15,1110.0,327,0.0,2,False,-15.0,1230.0,48.0,0,26598.0,2303.0,35027.0,0.03781825708962948,0.0,0,0,0,0,,0,2009-05-20,2023-05-30,12,https://github.com/apache/Felix
Griffin,3503511.7122417563,1139.0,2664,7,41.0,590,-17.0,5,False,-5.0,213.0,78.0,545,68123.0,234.0,860.0,0.004129023150762281,25.33,5,0,1,1,19.287151480310435,102,2017-02-15,2023-05-23,12,https://github.com/apache/Griffin
HAWQ,1500340.8587483051,8740.0,1709,9,142.0,329,-141.0,1,False,-26.0,310.0,114.0,94,58494.0,211.0,2720.0,0.005017317130554203,16.9,0,31,199,227,16.586358342570897,651,2015-09-05,2023-02-04,12,https://github.com/apache/HAWQ
Groovy,10377773.150939537,14860.0,11548,9,133.0,1816,-48.0,4,False,-24.0,1394.0,305.0,9628,2070.0,748.0,36188.0,0.033530089598570186,86.97,0,9,28,38,6.2783011721665165,340,2015-04-16,2023-05-30,12,https://github.com/apache/Groovy
Cassandra,3169511.3339063157,146382.0,19387,15,37.0,3395,163.0,10,False,34.0,4810.0,539.0,652,12245.0,15151.0,14549.0,0.02532155149856082,82.17,12,4,31,43,5.226454199510736,418,2009-05-21,2023-05-27,12,https://github.com/apache/Cassandra
Jena,3102441.0348856077,15325.0,2533,11,183.0,619,18.0,1,False,6.0,570.0,114.0,42,61917.0,1270.0,23076.0,0.002791509702596851,39.66,0,50,79,95,38.99566912891235,2861,2013-01-04,2023-06-01,12,https://github.com/apache/Jena
Kylin,3624899.947439059,26693.0,8521,9,1044.0,1527,8.0,8,False,14.0,1324.0,334.0,3360,39298.0,1312.0,10975.0,0.005209170897562544,15.91,28,2,8,22,10.69002650762094,289,2015-01-03,2023-05-15,12,https://github.com/apache/Kylin
logging-log4cxx,443668.0,54.0,545,7,18.0,111,12.0,2,False,1.0,40.0,25.0,0,28236.0,273.0,2190.0,0.0,41.15,24,1,1,5,5.207735018188781,263,2017-04-09,2023-05-21,12,https://github.com/apache/logging-log4cxx
incubator-retired-MRQL,346658.7300294118,165.0,50,9,6.0,16,-5.0,1,True,-2.0,14.0,3.0,0,78568.0,5.0,164.0,0.029641185647425898,11.46,16,0,0,3,16.78808307056649,140,2015-04-18,2017-08-22,12,https://github.com/apache/incubator-retired-MRQL
Nuvem,171898.90657142855,82.0,8,14,27.0,4,2.0,2,True,-4.0,14.0,5.0,0,-1.0,0.0,141.0,0.009828009828009828,24.59,8,0,0,0,24.067333939945406,37,2010-08-12,2023-04-14,12,https://github.com/apache/Nuvem
ManifoldCF,1538910.959460485,9240.0,214,12,177.0,66,1.0,1,False,-4.0,249.0,16.0,0,59156.0,1869.0,4510.0,0.0054820966743161035,8.04,0,41,48,219,35.801816191287145,817,2012-06-22,2023-05-29,12,https://github.com/apache/ManifoldCF
MyFaces,11756310.285152895,1612.0,271,6,-28.0,67,1.0,2,False,2.0,128.0,36.0,1750,50227.0,129.0,7894.0,0.03668610301263363,51.27,0,2,16,95,19.77668698419548,302,2018-05-08,2023-06-16,12,https://github.com/apache/MyFaces
creadur-rat,8192880.848571426,1347.0,65,12,-4.0,33,2.0,2,False,2.0,117.0,16.0,0,69979.0,191.0,1961.0,0.026026237833262803,76.56,4,0,0,1,1.7568101065929729,72,2012-10-11,2023-06-19,12,https://github.com/apache/creadur-rat
Rya,5349451.658825396,3444.0,292,9,19.0,76,-9.0,5,True,-4.0,105.0,45.0,0,43869.0,56.0,441.0,0.019549559849091118,69.83,34,1,1,13,14.092442701148473,251,2015-10-06,2023-04-16,12,https://github.com/apache/Rya
incubator-SAMOA,3646513.6635942035,609.0,594,9,28.0,110,-19.0,1,True,-4.0,63.0,25.0,0,12867.0,23.0,134.0,0.00611974859411181,9.25,34,0,1,3,15.03793352601156,118,2015-01-27,2023-04-16,12,https://github.com/apache/incubator-SAMOA
PLC4X,844333.4666666667,326.0,1953,7,167.0,321,71.0,2,False,6.0,116.0,78.0,3600,3040.0,305.0,7272.0,0.0005710106889193873,19.78,0,50,45,345,17.542163034506547,5637,2017-12-20,2023-06-02,12,https://github.com/apache/PLC4X
Shindig,2131112.2827931223,4331.0,204,15,280.0,68,1.0,4,True,-11.0,306.0,34.0,0,77022.0,150.0,5223.0,0.053649407361197755,60.89,33,0,1,8,28.03985044138903,121,2009-05-21,2023-04-14,12,https://github.com/apache/Shindig
SINGA,1447566.0897435897,488.0,6656,9,69.0,986,-11.0,6,False,2.0,109.0,84.0,59,10640.0,508.0,2084.0,0.0,49.9,40,0,10,6,14.922139080692226,114,2015-04-02,2023-05-31,12,https://github.com/apache/SINGA
Syncope,4491365.598534142,7421.0,579,10,1.0,163,20.0,1,False,3.0,177.0,47.0,367,57729.0,37.0,12586.0,0.012798096766796606,20.95,12,5,2,68,17.664016529040996,459,2014-10-23,2023-07-06,12,https://github.com/apache/Syncope
Tika,2609499.194694863,25115.0,4166,15,-254.0,702,13.0,1,False,5.0,1669.0,156.0,2527,60365.0,1488.0,7559.0,0.007736693013544443,46.08,0,6,9,26,11.034783440912811,301,2009-05-21,2023-07-05,12,https://github.com/apache/Tika
Sling,2635763.7410744173,41850.0,702,15,1350.0,264,0.0,1,False,-6.0,804.0,54.0,0,81086.0,3266.0,46606.0,0.05208357542938155,0.0,0,0,0,0,,0,2009-03-27,2023-07-07,12,https://github.com/apache/Sling
Twill,4559486.354592591,940.0,202,8,29.0,72,-7.0,1,False,-5.0,47.0,16.0,0,25856.0,50.0,345.0,0.008817939946788294,35.73,4,0,0,0,1.7449995884434932,85,2016-07-29,2020-03-15,12,https://github.com/apache/Twill
Zipkin,5405578.9130434785,7332.0,35538,12,210.0,3064,-97.0,1,False,-1.0,479.0,199.0,328,14481.0,732.0,4031.0,0.002957373036916174,83.15,34,0,0,1,6.132627835364532,141,2012-06-06,2023-06-19,12,https://github.com/apache/Zipkin
Trafodion,5147353.154423019,13197.0,658,9,364.0,162,-60.0,1,True,-58.0,305.0,186.0,205,74216.0,889.0,6423.0,0.02631017004394394,5.26,0,50,373,1187,28.4654536993564,4510,2015-05-27,2021-05-05,12,https://github.com/apache/Trafodion
incubator-retired-Concerted,217262.16511764706,55.0,28,9,0.0,6,0.0,2,False,0.0,9.0,0.0,0,47918.0,17.0,24.0,0.05303030303030303,45.94,0,0,0,0,19.05805038335159,46,2015-10-23,2015-11-11,12,https://github.com/apache/incubator-retired-Concerted
DataFu,14155367.664884616,1078.0,275,10,22.0,65,1.0,1,False,-6.0,98.0,33.0,0,13422.0,136.0,516.0,0.0013179571663920922,64.21,17,0,0,6,20.61705989110708,181,2014-01-14,2023-04-12,12,https://github.com/apache/DataFu
Cayenne,6469149.897002547,4217.0,701,15,-54.0,127,10.0,1,False,1.0,288.0,63.0,0,76001.0,2019.0,6387.0,0.015230478438056529,67.83,0,7,5,27,11.993055436771977,1258,2009-05-21,2023-05-23,12,https://github.com/apache/Cayenne
ActiveMQ,12153225.602677926,26585.0,5673,15,76.0,1377,25.0,4,False,-3.0,2818.0,160.0,1180,74747.0,220.0,13769.0,0.08365180467091295,106.73,17,4,12,41,28.33157768888257,235,2009-05-21,2023-05-22,12,https://github.com/apache/ActiveMQ
Gora,8533466.21479239,2707.0,337,10,50.0,117,8.0,5,False,-7.0,163.0,55.0,146,48323.0,386.0,1223.0,0.01793986355596732,32.45,33,0,0,5,14.398746572659617,185,2014-05-19,2023-04-20,12,https://github.com/apache/Gora
Fineract,9456660.515387656,6642.0,3134,9,-64.0,1252,17.0,10,False,6.0,482.0,147.0,564,31848.0,537.0,6830.0,0.013996060368192656,21.47,0,8,25,94,19.404185082931686,491,2015-12-22,2023-05-30,12,https://github.com/apache/Fineract
Marmotta,3973982.483487847,1615.0,161,10,318.0,55,-1.0,2,False,-6.0,97.0,26.0,0,47530.0,220.0,2211.0,0.013849514337500582,19.08,29,1,2,17,17.31584083805853,193,2014-01-22,2021-02-23,12,https://github.com/apache/Marmotta
logging-log4net,26779525.880734753,841.0,1782,7,260.0,308,-11.0,2,False,-3.0,183.0,17.0,114,27388.0,126.0,2285.0,0.0652377972465582,18.34,19,0,4,7,11.468562541657407,207,2017-04-26,2023-05-20,12,https://github.com/apache/logging-log4net
Mnemonic,2303207.7715053526,1844.0,290,8,46.0,66,-13.0,1,False,0.0,81.0,34.0,95,17137.0,117.0,585.0,0.04664723032069971,33.01,14,0,1,4,32.55459216441876,152,2016-03-29,2023-05-31,12,https://github.com/apache/Mnemonic
NPanday,14766849.694194756,1040.0,43,14,46.0,15,3.0,3,True,-2.0,62.0,7.0,0,71660.0,109.0,2020.0,0.015419091578031976,26.47,43,0,5,14,15.715368785876748,212,2010-09-18,2023-05-31,12,https://github.com/apache/NPanday
OODT,7170435.904155253,2387.0,188,11,129.0,64,5.0,3,False,-9.0,129.0,52.0,223,64863.0,777.0,2135.0,0.0011474151044206138,24.07,45,0,11,13,34.5919090075827,167,2013-01-21,2023-04-17,12,https://github.com/apache/OODT
climate,3699731.3453513547,4036.0,390,10,132.0,116,-49.0,3,False,-8.0,84.0,43.0,65,79733.0,184.0,2868.0,0.008533616854592765,37.66,36,6,2,16,20.281325407568712,405,2014-03-08,2020-10-05,12,https://github.com/apache/climate
incubator-retired-OpenAz,6699475.030000001,33.0,58,9,38.0,26,3.0,2,False,-1.0,16.0,6.0,0,38646.0,4.0,68.0,0.0,118.24,12,7,6,32,18.16517751961868,463,2015-04-11,2016-10-20,12,https://github.com/apache/incubator-retired-OpenAz
incubator-retired-Pirk,459950.6767878788,526.0,142,8,231.0,26,-88.0,1,False,-6.0,26.0,10.0,0,39786.0,76.0,219.0,7.052426831071627e-05,30.12,2,0,0,7,10.345285524568393,184,2016-06-19,2017-06-16,12,https://github.com/apache/incubator-retired-Pirk
OpenNLP,13268994.84399815,4979.0,2896,13,51.0,424,3.0,2,False,5.0,302.0,65.0,134,69646.0,82.0,2838.0,0.022605736509479824,27.82,11,9,6,36,21.588981866298894,522,2011-11-09,2023-07-04,12,https://github.com/apache/OpenNLP
Samza,3140447.373548438,6855.0,1869,9,30.0,319,9.0,14,False,-13.0,454.0,192.0,432,20663.0,674.0,2271.0,0.04273109970589931,100.42,41,0,0,6,11.01897269782508,454,2015-03-14,2023-06-22,12,https://github.com/apache/Samza
Mesos,5230798.474435473,38668.0,11817,11,327.0,1695,-6.0,11,False,-7.0,1693.0,438.0,981,68822.0,2596.0,19314.0,0.011736344755723317,80.94,0,17,28,92,23.788211138930127,485,2013-07-17,2023-04-12,12,https://github.com/apache/Mesos
REEF,2778333.256623267,8774.0,292,10,52.0,104,-48.0,5,True,-8.0,202.0,89.0,492,51017.0,217.0,3741.0,0.012441023094114725,40.18,44,0,0,7,8.369390681882255,180,2014-10-23,2022-07-06,12,https://github.com/apache/REEF
Shiro,56551.0,4.0,10506,15,-335.0,2288,84.0,4,False,8.0,111.0,77.0,467,80761.0,117.0,3484.0,0.0,70.95,7,0,0,3,2.614704256495301,145,2009-08-29,2023-06-05,12,https://github.com/apache/Shiro
servicecomb-java-chassis,2519710.7302001743,5222.0,4493,7,228.0,787,-78.0,2,False,-14.0,268.0,156.0,170,79659.0,152.0,3752.0,0.00395987328405491,74.44,22,0,0,0,8.953458060117509,73,2017-05-18,2023-06-05,12,https://github.com/apache/servicecomb-java-chassis
Ignite,494154.0303030303,136.0,10789,9,3357.0,1849,60.0,10,False,-7.0,529.0,426.0,2324,77033.0,2277.0,31307.0,0.0,81.77,0,17,45,116,9.08068122688343,465,2015-02-19,2023-07-05,12,https://github.com/apache/Ignite
Zeppelin,2010741.5684104343,35982.0,14905,9,56.0,2757,-65.0,5,False,-23.0,2571.0,526.0,207,54755.0,1259.0,5740.0,0.029530320693947718,35.94,19,3,8,27,23.24671055908045,455,2015-03-25,2023-06-19,12,https://github.com/apache/Zeppelin
TVM,1222827.3922027291,13730.0,22833,8,-559.0,3073,33.0,7,False,96.0,1348.0,818.0,1784,31405.0,973.0,10177.0,0.0068657140670609716,57.58,0,14,41,172,11.945692368815134,419,2016-10-12,2023-06-21,12,https://github.com/apache/TVM
APISIX,698581.3416501182,23201.0,25997,5,137.0,2223,53.0,5,False,33.0,945.0,357.0,2145,42108.0,1951.0,2165.0,0.006508561691667365,7.76,35,1,0,9,29.18678577176887,403,2019-04-10,2023-05-27,12,https://github.com/apache/APISIX
Gobblin,1102031.1138770047,2743.0,5005,10,100.0,735,16.0,9,False,-6.0,357.0,187.0,353,2750.0,324.0,5858.0,0.004814958267830155,49.28,41,0,0,14,6.563633832117088,245,2014-12-01,2023-05-30,12,https://github.com/apache/Gobblin
jUDDI,4744625.808772923,900.0,55,10,33.0,17,2.0,2,False,-2.0,27.0,7.0,0,84452.0,173.0,3043.0,0.003953560917388886,16.04,24,5,31,24,50.4834402773903,439,2014-02-21,2023-02-27,12,https://github.com/apache/jUDDI
ODFToolkit,5458875.13297303,775.0,101,12,6.0,29,0.0,1,True,1.0,95.0,5.0,0,-1.0,120.0,1200.0,0.01047139389108301,13.97,30,2,17,23,63.75281461095822,259,2012-07-28,2018-10-02,12,https://github.com/apache/ODFToolkit
incubator-retired-Ripple,1882096.3603880606,278.0,405,11,27.0,59,-10.0,2,False,-2.0,114.0,25.0,0,39544.0,138.0,1006.0,0.008267090620031796,47.79,11,0,1,0,18.395158909770736,99,2013-04-08,2016-01-31,12,https://github.com/apache/incubator-retired-Ripple
Mynewt-core,5157541.646616542,665.0,1846,9,378.0,352,0.0,6,False,4.0,193.0,149.0,959,76795.0,367.0,10445.0,5.967979079520609e-05,2.13,0,30,106,157,28.248173917564184,623,2015-10-29,2023-06-01,12,https://github.com/apache/Mynewt-core
SystemML,12526342.832039919,6487.0,2372,9,169.0,432,-60.0,2,False,-5.0,305.0,161.0,166,58045.0,937.0,7625.0,0.002346722690014695,53.5,0,35,30,94,12.829148653556272,947,2015-11-10,2023-07-05,12,https://github.com/apache/SystemML
Accumulo,13978907.876366321,32959.0,2377,13,288.0,425,81.0,3,False,6.0,547.0,203.0,1133,8334.0,349.0,11812.0,0.023701425245704774,47.84,0,9,21,59,20.37519116397621,464,2011-10-06,2023-06-06,12,https://github.com/apache/Accumulo
Calcite,2750670.6920155487,35059.0,9711,10,42.0,1979,87.0,1,False,19.0,1508.0,411.0,1449,53143.0,907.0,4559.0,0.03921940763399685,49.64,0,5,30,65,5.918698682550516,466,2014-06-25,2023-05-27,12,https://github.com/apache/Calcite
CarbonData,2539688.144278939,6873.0,3444,8,414.0,712,-157.0,6,False,-36.0,583.0,235.0,229,56059.0,844.0,5185.0,0.028382012928797246,69.06,0,11,6,97,11.864714974088551,361,2016-06-28,2023-04-28,12,https://github.com/apache/CarbonData
CloudStack,2416453.158125667,11732.0,3836,11,2743.0,1002,63.0,15,False,-81.0,770.0,577.0,1688,37731.0,563.0,49409.0,0.0006735151824325902,45.63,0,45,135,244,23.12449830125917,537,2013-04-29,2023-07-07,12,https://github.com/apache/CloudStack
Iceberg,2609149.4266802445,11088.0,10266,6,-265.0,1612,-2.0,6,False,55.0,726.0,312.0,1146,34822.0,595.0,3989.0,0.0003931181204328924,117.54,23,0,3,19,57.69391076532232,151,2018-11-19,2023-07-05,12,https://github.com/apache/Iceberg
MetaModel,4544793.764252634,1725.0,454,11,13.0,148,0.0,2,False,-2.0,163.0,49.0,534,54290.0,285.0,668.0,0.0260387811634349,58.67,40,0,0,2,5.719104007038897,119,2013-08-07,2021-06-23,12,https://github.com/apache/MetaModel
incubator-Myriad,5416660.542429188,827.0,383,9,64.0,71,5.0,3,True,-10.0,83.0,39.0,17,10142.0,160.0,293.0,0.013482767337996124,16.57,7,0,2,1,9.67164868140112,125,2015-04-04,2023-04-16,12,https://github.com/apache/incubator-Myriad
Nutch,8643543.426774736,17391.0,6388,15,-13.0,1212,2.0,5,False,1.0,668.0,91.0,168,52210.0,1717.0,2500.0,0.009532422635674746,19.59,22,4,2,36,15.46306235971504,250,2009-05-21,2023-05-23,12,https://github.com/apache/Nutch
Ambari,724845.2096878157,108630.0,5423,13,231.0,1593,33.0,13,False,5.0,1730.0,302.0,5396,41014.0,2381.0,35410.0,0.04914421376592121,70.12,0,25,56,132,19.59092368148749,437,2011-09-23,2023-05-25,12,https://github.com/apache/Ambari
